2a. ZE - SÃO PAULO - PERDIZES;GRUPO EDUCACIONAL HOTEC;R. DAS PALMEIRAS, 117;SÃO PAULO;Da 173ª à 188ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;INSTITUTO EDUCACIONAL BONI CONSILII;ALAMEDA BARÃO DE LIMEIRA,1379;SÃO PAULO;Da 76ª à 84ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;LICEU CORAÇÃO DE JESUS;ALAMEDA DINO BUENO, 383;SÃO PAULO;Da 111ª à 135ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;LOCAL RESERVA, NÃO UTILIZAR;RUA DEPUTADO SALVADOR JULIANELLI, S/N - PRÉDIO D;SÃO PAULO;Da 493ª à 497ª.;493ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;PUC - PONTIFÍCIA UNIVERSIDADE CATÓLICA;RUA MONTE ALEGRE, 984;SÃO PAULO;Da 28ª à 63ª;; 440ª; 453ª; 499ª;" "",""440ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;UNINOVE - UNIVERSIDADE NOVE DE JULHO;AV. FRANCISCO MATARAZZO, 364;SÃO PAULO;Da 85ª à 94ª;; 498ª; 505ª; 517ª; 522ª;" "",""85ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3a. ZE - SÃO PAULO - SANTA IFIGÊNIA;COLÉGIO DE SANTA INÊS;RUA TRES RIOS, 362;SÃO PAULO;Da 65ª à 75ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3a. ZE - SÃO PAULO - SANTA IFIGÊNIA;COLÉGIO DE SÃO BENTO;LARGO DE SÃO BENTO, S/N;SÃO PAULO;Da 1ª à 13ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3a. ZE - SÃO PAULO - SANTA IFIGÊNIA;EE. DE SÃO PAULO;RUA DA FIGUEIRA, 500;SÃO PAULO;Da 52ª à 56ª;;" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3a. ZE - SÃO PAULO - SANTA IFIGÊNIA;EE. DOMINGOS FAUSTINO SARMIENTO;RUA VINTE E UM DE ABRIL, 970;SÃO PAULO;Da 141ª à 151ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
