neighbourhood,zone,name,address,sections1,sections2
"JARDIM DA CONQUISTA","375a. ZE - SÃO PAULO - SÃO MATEUS","EMEF. PROF. CARLOS CORREA MASCARO","TRAVESSA SALVE A MOCIDADE, 932","354ª; 364ª; 380ª; 386ª; 391ª; 398ª; 405ª; 410ª; 420ª; 429ª; 437ª; 443ª; 455ª; 542ª; ","364ª; 542ª; "
"JARDIM DA CONQUISTA","389a. ZE - SÃO PAULO - PERUS","EMEF RECANTO DOS HUMILDES","RUA ARGÉLIA, S/N.","412ª; 455ª; 473ª; 486ª; 499ª; ","486ª; "
"JARDIM DA SAÚDE","413a. ZE - SÃO PAULO - CURSINO","EE. DEPUTADO RUBENS DO AMARAL","RUA FILIPE CARDOSO, 554","Da 1ª à 12ª.","12ª; "
"JARDIM DA SAÚDE","413a. ZE - SÃO PAULO - CURSINO","EMEF. JOSÉ MARIA LISBOA","PRAÇA JOÃO RODRIGUES, 575","Da 213ª à 215ª; 272ª; 288ª; 295ª; 311ª; 320ª; 332ª; 353ª; 361ª; 370ª; ","353ª; "
"JARDIM DAMASCENO","376a. ZE - SÃO PAULO - BRASILÂNDIA","EE. DOUTOR GENÉSIO DE ALMEIDA MOURA","RUA DOMINGOS AREVALO, 862","286ª; 298ª; 305ª; 311ª; 321ª; 328ª; 350ª; 369ª; 386ª; 399ª; 410ª; 426ª; 459ª; 486ª; 518ª; 538ª; 564ª; 596ª; 619ª; 641ª; ","538ª; "
"JARDIM DANFER","390a. ZE - SÃO PAULO - CANGAÍBA","EE. DOM MIGUEL KRUSE","RUA SÃO JOSÉ DO CAMPESTRE, 30","Da 43ª à 50ª; 238ª; 242ª; 250ª; 260ª; 266ª; 272ª; 302ª; 311ª; 316ª; 322ª; 329ª; 332ª; ","272ª; "
"JARDIM DANFER","390a. ZE - SÃO PAULO - CANGAÍBA","EMEI PROFESSORA NEUSA CONCEIÇÃO STINCHI","PRAÇA CORONEL EZEQUIEL, 10","281ª; 292ª; 298ª; ",""
"JARDIM DAS BANDEIRAS","251a. ZE - SÃO PAULO - PINHEIROS","EE. PROFº ANTONIO ALVES CRUZ","RUA ALVES GUIMARÃES, 1511","Da 150ª à 158ª; 245ª; 291ª; ","150ª; "
"JARDIM DAS CAMÉLIAS","398a. ZE - SÃO PAULO - VILA JACUÍ","EE. JARDIM DAS CAMÉLIAS","RUA CANGICA, 50","Da 25ª à 31ª; 199ª; 211ª; 221ª; 231ª; 245ª; 254ª; ","26ª; "
"JARDIM DAS CAMÉLIAS","398a. ZE - SÃO PAULO - VILA JACUÍ","EE. LUIGI PIRANDELLO","AVENIDA LARANJA DA CHINA, 50","Da 36ª à 54ª.","54ª; "
